Exp Info, Average Accuracy Per Partition
C=32.0_gamma=0.75,11.7180942148
C=4.0_gamma=3.75,9.87476076957
C=1.0_gamma=3.75,11.7124981813
C=4.0_gamma=3.25,10.067264323
C=16.0_gamma=0.25,90.4912198234
C=16.0_gamma=3.5,9.71135659045
C=32.0_gamma=1.25,10.471297944
C=4.0_gamma=1.0,89.802907699
C=32.0_gamma=4.0,9.72142945081
C=32.0_gamma=3.0,9.85685346227
C=1.0_gamma=4.0,11.1249146605
C=32.0_gamma=1.0,10.5071125586
C=1.0_gamma=1.5,90.4912198234
C=16.0_gamma=1.0,11.8680679135
C=16.0_gamma=4.0,9.74829041176
C=32.0_gamma=3.5,9.71807183069
C=32.0_gamma=1.5,10.227310882
C=1.0_gamma=0.75,90.4912198234
C=32.0_gamma=0.25,90.4912198234
C=4.0_gamma=1.5,16.7534051864
C=1.0_gamma=0.0025,90.4912198234
C=32.0_gamma=0.5,19.6342432484
C=4.0_gamma=3.5,9.98891985361
C=1.0_gamma=2.75,37.9142463822
C=32.0_gamma=1.75,10.0974829041
C=1.0_gamma=3.0,16.1535103918
C=16.0_gamma=1.75,10.3839998209
C=16.0_gamma=2.75,9.83558853485
C=16.0_gamma=2.5,9.95422444571
C=1.0_gamma=1.25,90.4912198234
C=1.0_gamma=0.005,90.4912198234
C=4.0_gamma=2.25,10.9872522356
C=32.0_gamma=2.0,10.0571914627
C=4.0_gamma=1.75,12.9447447649
C=4.0_gamma=2.0,11.7774121703
C=16.0_gamma=1.25,10.8965964924
C=4.0_gamma=3.0,10.1176286248
C=1.0_gamma=1.75,90.4856237899
C=1.0_gamma=0.25,90.4912198234
C=32.0_gamma=3.75,9.69680690327
C=1.0_gamma=0.15,90.4912198234
C=1.0_gamma=0.1,90.4912198234
C=4.0_gamma=0.75,90.4766701362
C=16.0_gamma=2.25,9.96205889266
C=32.0_gamma=2.5,9.86804552933
C=4.0_gamma=2.5,10.6727551511
C=16.0_gamma=3.75,9.71359500386
C=16.0_gamma=2.0,10.1903770607
C=4.0_gamma=2.75,10.2899864576
C=16.0_gamma=0.5,89.0765425466
C=4.0_gamma=1.25,88.2998130925
C=16.0_gamma=3.0,9.78410502636
C=1.0_gamma=2.0,90.1845571859
C=1.0_gamma=2.5,88.4867206124
C=1.0_gamma=3.5,12.3773069648
C=1.0_gamma=2.25,89.6439803467
C=4.0_gamma=4.0,9.80760836719
C=1.0_gamma=1.0,90.4912198234
C=32.0_gamma=2.75,9.84230377508
C=16.0_gamma=3.25,9.74269437822
C=32.0_gamma=3.25,9.7203102441
C=16.0_gamma=1.5,10.5753841677
C=32.0_gamma=2.25,9.91169459087
C=4.0_gamma=0.25,90.4912198234
C=1.0_gamma=0.05,90.4912198234
C=1.0_gamma=0.2,90.4912198234
C=16.0_gamma=0.75,16.7545243931
C=4.0_gamma=0.5,90.4912198234
C=1.0_gamma=3.25,13.3319902853
C=1.0_gamma=0.5,90.4912198234
